,name,gcn_name,time,trigger_met,ra,dec,lii,bii,error_radius,redshift,luminosity_distance,theta,zenith,arr_flag,distance_to_closest,irfs,lle_bbbd_sig,lle_bbbd_sig_detected,lle_t05,lle_t90,lle_t95,tl0,tl100,tl100_error,tl1,tl0_lower,tl1_upper,like_best_t0,like_best_t1,like_best_ts,like_best_flux,like_best_flux_error,like_best_flux_ene,like_best_flux_ene_error,like_best_fluence,like_best_fluence_error,like_best_grbindex,like_best_grbindex_error,like_best_eiso_rf,like_best_eiso_rf_error,like_lat_t0,like_lat_t1,like_lat_ts,like_lat_flux,like_lat_flux_error,like_lat_flux_ene,like_lat_flux_ene_error,like_lat_fluence,like_lat_fluence_error,like_lat_grbindex,like_lat_grbindex_error,like_lat_eiso_rf,like_lat_eiso_rf_error,like_gbm_t0,like_gbm_t1,like_gbm_ts,like_gbm_flux,like_gbm_flux_error,like_gbm_flux_ene,like_gbm_flux_ene_error,like_gbm_fluence,like_gbm_fluence_error,like_gbm_grbindex,like_gbm_grbindex_error,like_gbm_eiso_rf,like_gbm_eiso_rf_error,like_ext_t0,like_ext_t1,like_ext_ts,like_ext_flux,like_ext_flux_error,like_ext_flux_ene,like_ext_flux_ene_error,like_ext_fluence,like_ext_fluence_error,like_ext_grbindex,like_ext_grbindex_error,like_ext_eiso_rf,like_ext_eiso_rf_error,ext_emission_max_ene,ext_emission_max_ene_p,ext_emission_max_ene_t,ext_emission_n,lat_bpl_chi2,lat_bpl_f0,lat_bpl_f0_error,lat_bpl_index1,lat_bpl_index1_error,lat_bpl_index2,lat_bpl_index2_error,lat_bpl_timebreak,lat_bpl_timebreak_error,lat_spl_chi2,lat_spl_index1,lat_spl_index1_error,lat_f0,lat_f0_error,late_index,late_index_error,su_tsinput,gbm_cat_name,gbm_cat_t05,gbm_cat_t90,gbm_cat_t90_error,gbm_cat_t95,gbm_cat_fluence,gbm_cat_fluence_error,flux_ratio,flux_ene_ratio,fluence_ratio,flux_ratio_error,flux_ene_ratio_error,fluence_ratio_error,like_gbm-lat_time_difference,gbm-lle_time_difference
2,GRB160325291,b'GRB160325A      ',57472.2912153,480581965.51,16.21,-72.66,301.5342,-44.4319,0.24,0.0,0.0,7.2372,55.525,0,3.4,b'P8_TRANSIENT010E              ',6.5,1,13.816,0.203,14.019,4.98,1550.73999,458.35501,1555.71997,4.86,2472.31006,0.0,4000.0,97.2241,4.64852e-06,9.55144e-07,2.38072e-09,7.24476e-10,9.52288e-06,2.89791e-06,-2.41911,0.230645,0.0,0.0,4.98,1555.71997,94.858,4.769e-06,9.95543e-07,2.40535e-09,7.3455e-10,3.73007e-06,1.1391e-06,-2.43121,0.236077,0.0,0.0,2.048,44.993,9.14198,2.71042e-05,0.0,3.00274e-08,0.0,1.28953e-06,0.0,-2.73237,1.04443,0.0,0.0,44.993,1555.71997,93.4201,4.73745e-06,1.00722e-06,2.47458e-09,7.83883e-10,3.73841e-06,1.18423e-06,-2.40389,0.236112,0.0,0.0,3000.0,1.0,92.02,21.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000608841,0.74088,0.0995074,-3.35121,0.286897,0.74088,0.0995074,83.0,b'GRB160325291',2.048,42.945,0.572,44.993,1.8598e-05,1.9812e-07,5.683413713566785,12.483588666929968,0.345712010766554,2.5967229791628217,6.898600447992251,0.19104553981740421,-2.9320000000000004,1.845
21,GRB200219317,b'GRB200219A      ',58898.3172338,603790614.1,342.88,-60.2,326.2541,-51.1517,0.29,0.0,0.0,47.8789,90.4604,0,4.89,b'P8_TRANSIENT020E              ',7.3,1,0.061,0.213,0.274,1.33,1.0,0.505,2.33,1.32,3.33,0.0,5.15,30.3474,7.89479e-05,5.65638e-05,3.27876e-07,5.37367e-07,1.68856e-06,2.76744e-06,-1.55926,0.47236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088,2.33,24.6015,0.000150844,0.000151807,2.12151e-06,3.75336e-06,2.63492e-06,4.66167e-06,-1.18344,0.530713,0.0,0.0,1900.0,1.0,1.33,2.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,b'GRB200219317',-0.064,1.152,1.032,1.088,1.5848e-06,4.0037e-08,,,,,,,0.0,-0.277
25,GRB141222298,b'GRB141222A      ',57013.2978819,440924940.39,178.0,-57.31,294.9442,4.6371,0.08,0.0,0.0,45.8852,93.4996,0,3.73,b'P8_TRANSIENT020E              ',8.2,1,-0.031,1.293,1.262,34.21,406.34,12.39,440.54999,33.04,464.16,2.752,440.54999,38.9478,7.6502e-06,2.83792e-06,6.73908e-09,4.25943e-09,2.95036e-06,1.86477e-06,-2.09906,0.326023,0.0,0.0,34.21,440.54999,38.9406,7.71704e-06,2.79937e-06,6.82813e-09,4.35757e-09,2.77454e-06,1.77066e-06,-2.09701,0.317263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.752,440.54999,38.9478,7.6502e-06,2.83792e-06,6.73908e-09,4.25943e-09,2.95036e-06,1.86477e-06,-2.09906,0.326023,0.0,0.0,3600.0,1.0,227.42,11.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00490997,1.3342,0.396129,-2.10559,0.90222,1.3342,0.396129,150.0,b'GRB141222298',0.0,2.752,0.264,2.752,9.2055e-06,3.8177e-08,0.0,0.0,0.0,,,,-34.21,-1.293
29,GRB120316008,b'GRB120316A      ',56002.007662,353549464.56,57.35,-56.41,268.3031,-46.978,0.31,0.0,0.0,9.8853,48.7332,0,3.34,b'P8_TRANSIENT010E              ',5.8,1,11.308,0.398,11.706,15.0,530.03998,33.315,545.03998,12.92,609.59003,15.0,545.03998,70.0461,4.3979e-06,1.26803e-06,3.40587e-09,2.08203e-09,1.80525e-06,1.10356e-06,-2.16154,0.300961,0.0,0.0,15.0,545.03998,70.0461,4.3979e-06,1.26803e-06,3.40587e-09,2.08203e-09,1.80525e-06,1.10356e-06,-2.16154,0.300961,0.0,0.0,1.536,28.16,25.2318,1.74842e-05,1.06202e-05,2.85828e-08,4.05682e-08,7.60987e-07,1.08009e-06,-1.85429,0.486377,0.0,0.0,28.16,545.03998,53.0927,3.91397e-06,1.22791e-06,2.21449e-09,1.28532e-09,1.14463e-06,6.64358e-07,-2.34605,0.373927,0.0,0.0,2100.0,1.0,26.44,10.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00102586,0.872212,0.163782,-3.27178,0.400124,0.872212,0.163782,57.0,b'GRB120316008',1.536,26.624,0.362,28.16,1.6257e-05,3.077e-08,3.9755792537347374,8.392216966590034,0.4215410607949037,3.2231177003349276,13.598969657368942,0.6830782904137294,-13.464,1.138
37,GRB120709883,b'GRB120709A      ',56117.8831019,363561103.37,318.8,-50.42,347.9563,-43.1787,0.4,0.0,0.0,27.7871,40.4568,0,3.3,b'P8_TRANSIENT010E              ',9.9,1,-0.118,0.46,0.342,0.11,695.79999,14.865,695.90997,0.1,725.63,-0.128,27.2,125.988,8.45134e-05,2.40396e-05,6.22217e-08,3.76408e-08,1.70039e-06,1.02865e-06,-2.18779,0.30808,0.0,0.0,0.11,695.90997,91.8068,1.02631e-05,2.08241e-06,6.21406e-09,2.21249e-09,4.32374e-06,1.53945e-06,-2.30113,0.219498,0.0,0.0,-0.128,27.2,125.988,8.45134e-05,2.40396e-05,6.22217e-08,3.76408e-08,1.70039e-06,1.02865e-06,-2.18779,0.30808,0.0,0.0,27.2,695.90997,37.5066,6.44722e-06,1.80065e-06,3.30791e-09,1.42181e-09,2.21203e-06,9.50776e-07,-2.4177,0.316438,0.0,0.0,2600.0,0.99,140.33,22.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000912808,0.66663,0.130078,-3.50976,0.379818,0.66663,0.130078,84.0,b'GRB120709883',-0.128,27.328,0.958,27.2,1.3729e-05,3.751e-08,8.23468542643061,10.013051048750736,0.39326832788280514,4.3869535310280305,8.508183694455978,0.33416465096008885,-0.238,-0.5880000000000001
38,GRB101014175,b'GRB101014A      ',55483.1749074,308722314.62,26.5,-48.54,280.2491,-66.1151,0.09,0.0,0.0,55.0297,102.5554,1,3.14,b'P8_TRANSIENT010E              ',12.0,1,208.718,1.666,210.384,2270.73999,1925.28003,52.38,4196.02002,2165.97998,4196.02002,0.0,10000.0,48.4252,1.9469e-07,9.65282e-08,1.50657e-09,1.2051e-09,1.50657e-05,1.2051e-05,-1.3731,0.272673,0.0,0.0,2270.73999,4196.02002,46.5042,3.98166e-07,1.99255e-07,3.84489e-09,4.03587e-09,7.40248e-06,7.77017e-06,-1.305,0.346325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.823,4196.02002,46.2107,3.80447e-07,1.89866e-07,3.62144e-09,3.07777e-09,1.3563e-05,1.15269e-05,-1.30948,0.271293,0.0,0.0,14000.0,1.0,2750.70996,6.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000101661,-0.156331,0.348764,-6.85879,1.23886,-0.156331,0.348764,67.0,b'GRB101014175',1.408,449.415,1.409,450.823,0.00020146,4.2669e-07,0.0,0.0,0.0,,,,-2270.73999,-0.258
39,GRB150820880,b'GRB150820A      ',57254.8800347,461797639.642,258.65,-48.33,340.4708,-5.6225,15.3,0.0,0.0,22.9819,66.5613,0,-1.0,b'P8_TRANSIENT020E              ',6.9,1,-1.058,0.423,-0.635,-666.0,0.0,-666.0,-666.0,0.0,-1332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.768,5.12,-1.30431e-10,7.85917e-05,0.0,8.70678e-08,0.0,5.12655e-07,0.0,-2.69194,2762740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-670.0,-670.0,-666.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'GRB150820880',-0.768,5.888,1.379,5.12,3.4278e-07,1.7733e-08,inf,inf,inf,,,,-0.768,-1.191
55,GRB090531775,b'GRB090531B      ',54982.7749537,265487758.492,252.06,-36.05,347.1972,5.7448,0.0,0.0,0.0,21.9282,49.1757,0,-1.0,b'P8_TRANSIENT020E              ',10.0,1,-0.067,0.071,0.004,1.63,7.47,4.14,9.1,0.82,16.57,0.768,9.1,5.31069,9.09271e-05,0.0,1.00734e-07,0.0,8.39312e-07,0.0,-2.66036,1.50029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768,9.1,5.31069,9.09271e-05,0.0,1.00734e-07,0.0,8.39312e-07,0.0,-2.66036,1.50029,0.0,0.0,630.0,0.94,9.1,2.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'GRB090531775',0.0,0.768,0.231,0.768,3.1809e-07,1.8367e-08,,,,,,,0.0,-0.071
56,GRB150118409,b'GRB150118B      ',57040.4085301,443267300.77,240.23,-35.93,340.5789,12.7382,0.56,0.0,0.0,65.2622,91.7388,1,4.54,b'P8_TRANSIENT010E              ',6.6,1,22.122,1.473,23.595,4.34,46.69,15.28,51.03,4.13,81.38,0.0,500.0,30.4634,9.31672e-05,4.26895e-05,4.22973e-08,2.11565e-08,2.11486e-05,1.05782e-05,-2.52221,0.512161,0.0,0.0,4.34,51.03,5.48174,0.000134795,0.0,1.49332e-07,0.0,6.97233e-06,0.0,-3.89108,1.59186,0.0,0.0,7.68,47.873,3.75577,0.000138823,0.0,1.53795e-07,0.0,6.18148e-06,0.0,-3.23827,1.49378,0.0,0.0,47.873,51.03,5.87139,0.00122461,0.0,1.35668e-06,0.0,4.28303e-06,0.0,-5.9989,0.168812,0.0,0.0,1800.0,1.0,51.03,3.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,b'GRB150118409',7.68,40.193,0.572,47.873,0.00014114,1.0972e-07,1.029882414036129,1.029886427557389,0.8865730681135289,0.0,0.0,0.0,3.34,6.207
57,GRB131216081,b'GRB131216A      ',56642.0809259,408851795.063,91.59,-35.5,242.0253,-23.978,2.24,0.0,0.0,44.5659,77.2043,1,-1.0,b'P8_TRANSIENT020E              ',7.7,1,-0.19,0.275,0.085,-666.0,0.0,-666.0,-666.0,0.0,-1332.0,0.0,19.262,0.00828272,4.46151e-05,0.0,4.94268e-08,0.0,9.52059e-07,0.0,-5.13255,11.0677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,19.265,0.00827929,4.46147e-05,0.0,4.94263e-08,0.0,9.5205e-07,0.0,-5.13234,11.0672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-670.0,-670.0,-666.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'GRB131216081',0.003,19.262,3.598,19.265,6.7779e-06,3.99e-08,inf,inf,inf,,,,0.003,-0.272
62,GRB090626189,b'GRB90626.0      ',55008.1889815,267683530.88,170.19,-33.56,282.0672,25.6114,0.29,0.0,0.0,22.599,10.4193,0,2.64,b'P8_TRANSIENT010E              ',9.1,1,21.481,0.889,22.37,9.0,548.32001,86.405,557.32001,7.92,729.04999,0.0,4000.0,119.713,9.77951e-06,2.07595e-06,8.98523e-09,3.66799e-09,3.59409e-05,1.4672e-05,-2.07981,0.190556,0.0,0.0,9.0,557.32001,101.013,1.08635e-05,2.58376e-06,1.02933e-08,4.75188e-09,5.644e-06,2.60555e-06,-2.06605,0.212314,0.0,0.0,1.536,50.433,18.3995,2.72339e-05,0.0,3.0171e-08,0.0,1.47527e-06,0.0,-6.0,0.000995618,0.0,0.0,50.433,557.32001,101.796,1.12022e-05,2.70247e-06,1.23621e-08,6.0344e-09,6.26618e-06,3.05876e-06,-2.00142,0.205215,0.0,0.0,2100.0,1.0,111.63,20.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00278339,0.942202,0.222585,-2.76129,0.591489,0.942202,0.222585,100.0,b'GRB090626189',1.536,48.897,2.828,50.433,6.3046e-05,1.0656e-07,2.5069176600543104,2.931129958322404,0.26138731396172926,1.2225912145350666,1.9915466850654133,0.17759907896958949,-7.464,0.647
73,GRB090510016,b'GRB90510.0      ',54961.0159606,263607781.97,333.57,-26.62,24.5637,-55.0958,0.05,0.903,1.82872e+28,13.4907,52.271,1,1.19,b'P8_TRANSIENT020E              ',24.0,1,0.536,5.396,5.932,0.04,169.94,2.39,169.98,0.03,174.75,0.0,10.0,3618.01,0.00311962,0.000211136,3.51812e-06,6.41206e-07,3.51812e-05,6.41206e-06,-1.99264,0.065333,5.11118e+52,4.31863e+51,0.04,169.98,2923.57,0.00021719,1.39025e-05,2.12469e-07,3.54054e-08,3.61069e-05,6.01679e-06,-2.05205,0.0633294,5.81881e+52,4.62006e+51,-0.048,0.912,1284.81,0.00924521,0.0011622,1.8034e-05,6.22068e-06,1.73127e-05,5.97185e-06,-1.79433,0.102198,1.6835e+52,2.63116e+51,0.912,169.98,1869.15,0.000166466,1.24472e-05,1.31482e-07,2.41952e-08,2.22295e-05,4.09063e-06,-2.1516,0.0792874,4.18965e+52,3.79341e+51,30000.0,1.0,0.83,260.0,0.00391468,-2.94783,0.326481,2.31601,0.175004,1.34096,0.179843,0.612129,0.159725,0.00562261,1.81339,0.0834448,-1.59215,0.0387869,1.34096,0.179843,2600.0,b'GRB090510016',-0.048,0.96,0.138,0.912,3.3732e-06,4.0576e-08,42.567383397025644,84.8782645938937,0.4794845306575752,12.025821518905806,45.3620754784431,0.25625392357948923,-0.088,-5.444
74,GRB110921912,b'GRB110921B      ',55825.9116319,338334767.09,5.77,-26.59,36.1869,-83.6533,0.39,0.0,0.0,33.9401,21.1935,1,0.81,b'P8_TRANSIENT010E              ',7.1,1,17.073,0.935,18.008,7.4,314.22,52.685,321.62,6.73,426.32001,0.0,500.0,55.2979,4.37988e-06,1.44752e-06,6.00112e-09,4.30769e-09,3.00056e-06,2.15384e-06,-1.9176,0.269647,0.0,0.0,7.4,321.62,54.7957,6.27929e-06,2.15513e-06,1.0534e-08,7.91962e-09,3.30999e-06,2.4885e-06,-1.84533,0.264268,0.0,0.0,0.896,18.56,43.0495,5.55691e-05,2.58089e-05,6.33728e-08,6.74177e-08,1.11942e-06,1.19087e-06,-1.98815,0.417368,0.0,0.0,18.56,321.62,36.347,4.4273e-06,1.88324e-06,6.70372e-09,6.14242e-09,2.03163e-06,1.86152e-06,-1.8813,0.336938,0.0,0.0,2000.0,1.0,202.48,10.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,b'GRB110921912',0.896,17.664,0.345,18.56,3.6311e-05,7.8966e-08,8.849583312763068,6.01602430225935,0.3381943752095928,6.616052625482503,8.256526206888905,0.46414566964644977,-6.5040000000000004,-0.039000000000000035
85,GRB131014215,b'GRB131014A      ',56579.2145833,403420143.2,100.78,-20.76,230.7301,-11.0592,0.81,0.0,0.0,72.501,76.0067,1,3.3,b'P8_TRANSIENT020E              ',17.0,1,1.682,1.811,3.493,1.85,198.60001,4.955,200.45,1.83,210.34,1.85,200.45,155.255,6.05895e-05,1.27473e-05,8.60071e-08,4.99144e-08,1.7081e-05,9.91299e-06,-1.9046,0.182136,0.0,0.0,1.85,200.45,155.255,6.05895e-05,1.27473e-05,8.60071e-08,4.99144e-08,1.7081e-05,9.91299e-06,-1.9046,0.182136,0.0,0.0,0.96,4.16,131.946,0.00383231,0.00129106,4.36076e-06,3.18297e-06,1.39544e-05,1.01855e-05,-1.98904,0.309298,0.0,0.0,4.16,200.45,82.464,3.81317e-05,1.01995e-05,4.49811e-08,2.83933e-08,8.82934e-06,5.57331e-06,-1.97473,0.245834,0.0,0.0,1800.0,0.98,14.37,23.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00711762,0.816273,0.174624,-2.89022,0.340967,0.816273,0.174624,98.0,b'GRB131014215',0.96,3.2,0.091,4.16,0.00019793,1.5013e-07,63.250398171300304,50.70232573822394,0.8169545108600198,35.99617862593031,53.49331480203512,0.8619257468943589,-0.8900000000000001,-0.851
90,GRB130310840,b'GRB130310A      ',56361.8400579,384638984.5,142.38,-17.1,249.1022,24.0312,0.47,0.0,0.0,75.6174,49.7983,1,2.35,b'P8_TRANSIENT010E              ',11.0,1,4.132,0.078,4.21,67.23,492.84,31.86,560.07001,3.51,560.07001,20.096,560.07001,53.6175,7.09109e-06,2.17995e-06,6.92263e-09,4.20079e-09,3.73804e-06,2.26832e-06,-2.05295,0.272376,0.0,0.0,67.23,560.07001,48.4391,6.61185e-06,2.1447e-06,5.98731e-09,3.72627e-09,2.95078e-06,1.83646e-06,-2.08639,0.292794,0.0,0.0,4.096,20.096,14.1814,0.00101043,0.0,1.11941e-06,0.0,1.79105e-05,0.0,-2.12832,0.751521,0.0,0.0,20.096,560.07001,53.6175,7.09109e-06,2.17995e-06,6.92263e-09,4.20079e-09,3.73804e-06,2.26832e-06,-2.05295,0.272376,0.0,0.0,1400.0,1.0,329.89999,11.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,b'GRB130310840',4.096,16.0,2.561,20.096,1.1295e-05,6.7067e-08,152.8210712584224,186.96376168930624,6.069751048875212,87.03722167659058,147.49548457349027,4.788430627274709,-63.134,4.018
