,name,gcn_name,time,trigger_met,ra,dec,lii,bii,error_radius,redshift,luminosity_distance,theta,zenith,arr_flag,distance_to_closest,irfs,lle_bbbd_sig,lle_bbbd_sig_detected,lle_t05,lle_t90,lle_t95,tl0,tl100,tl100_error,tl1,tl0_lower,tl1_upper,like_best_t0,like_best_t1,like_best_ts,like_best_flux,like_best_flux_error,like_best_flux_ene,like_best_flux_ene_error,like_best_fluence,like_best_fluence_error,like_best_grbindex,like_best_grbindex_error,like_best_eiso_rf,like_best_eiso_rf_error,like_lat_t0,like_lat_t1,like_lat_ts,like_lat_flux,like_lat_flux_error,like_lat_flux_ene,like_lat_flux_ene_error,like_lat_fluence,like_lat_fluence_error,like_lat_grbindex,like_lat_grbindex_error,like_lat_eiso_rf,like_lat_eiso_rf_error,like_gbm_t0,like_gbm_t1,like_gbm_ts,like_gbm_flux,like_gbm_flux_error,like_gbm_flux_ene,like_gbm_flux_ene_error,like_gbm_fluence,like_gbm_fluence_error,like_gbm_grbindex,like_gbm_grbindex_error,like_gbm_eiso_rf,like_gbm_eiso_rf_error,like_ext_t0,like_ext_t1,like_ext_ts,like_ext_flux,like_ext_flux_error,like_ext_flux_ene,like_ext_flux_ene_error,like_ext_fluence,like_ext_fluence_error,like_ext_grbindex,like_ext_grbindex_error,like_ext_eiso_rf,like_ext_eiso_rf_error,ext_emission_max_ene,ext_emission_max_ene_p,ext_emission_max_ene_t,ext_emission_n,lat_bpl_chi2,lat_bpl_f0,lat_bpl_f0_error,lat_bpl_index1,lat_bpl_index1_error,lat_bpl_index2,lat_bpl_index2_error,lat_bpl_timebreak,lat_bpl_timebreak_error,lat_spl_chi2,lat_spl_index1,lat_spl_index1_error,lat_f0,lat_f0_error,late_index,late_index_error,su_tsinput,gbm_cat_name,gbm_cat_t05,gbm_cat_t90,gbm_cat_t90_error,gbm_cat_t95,gbm_cat_fluence,gbm_cat_fluence_error,flux_ratio,flux_ene_ratio,fluence_ratio,flux_ratio_error,flux_ene_ratio_error,fluence_ratio_error,like_gbm-lat_time_difference,gbm-lle_time_difference
95,GRB190727846,b'GRB190727B      ',58691.8460301,585951502.0,126.19,-13.34,236.0301,13.7536,0.28,0.0,0.0,45.7713,26.4663,0,2.03,b'P8_TRANSIENT010E              ',14.0,1,0.981,1.971,2.952,14.08,306.92999,0.58,321.01001,12.92,321.01001,0.0,3881.53003,37.1666,2.54871e-06,1.09575e-06,1.54455e-09,8.66349e-10,5.99521e-06,3.36276e-06,-2.30057,0.42519,0.0,0.0,14.08,321.01001,35.9671,6.62445e-06,2.59243e-06,3.47488e-09,2.20854e-09,1.06655e-06,6.77868e-07,-2.40069,0.464665,0.0,0.0,3.072,38.145,7.50854,4.2325e-05,0.0,4.68898e-08,0.0,1.64457e-06,0.0,-2.22677,0.817959,0.0,0.0,38.145,321.01001,34.3459,6.30442e-06,2.63245e-06,3.58926e-09,2.54932e-09,1.01528e-06,7.21115e-07,-2.34178,0.477852,0.0,0.0,2300.0,1.0,321.01001,7.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,b'GRB190727846',3.072,35.073,0.572,38.145,6.2153e-05,2.0753e-08,6.389209670236775,13.493933603462565,1.541953026112231,3.9969226741832427,10.757746294232136,1.229286465254057,-11.008,1.101
97,GRB110120666,b'GRB110120A      ',55581.6664236,317231981.23,61.62,-12.02,204.5281,-41.9733,0.2,0.0,0.0,14.6458,31.4977,1,1.16,b'P8_TRANSIENT010E              ',6.6,1,0.295,0.231,0.526,0.58,1112.27002,223.13,1112.84998,0.29,1558.81995,0.58,1112.84998,74.2733,2.38665e-06,6.73468e-07,2.44167e-09,1.42798e-09,2.7158e-06,1.5883e-06,-2.03285,0.252284,0.0,0.0,0.58,1112.84998,74.2733,2.38665e-06,6.73468e-07,2.44167e-09,1.42798e-09,2.7158e-06,1.5883e-06,-2.03285,0.252284,0.0,0.0,0.003,26.176,18.2938,4.81127e-05,0.0,5.33017e-08,0.0,1.39506e-06,0.0,-2.67255,0.929262,0.0,0.0,26.176,1112.84998,62.9748,2.06683e-06,6.4081e-07,2.30824e-09,1.48453e-09,2.5083e-06,1.6132e-06,-1.99657,0.266847,0.0,0.0,2000.0,1.0,72.46,10.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00869437,0.552345,0.41672,-3.91038,1.10385,0.552345,0.41672,67.0,b'GRB110120666',0.003,26.173,1.568,26.176,1.8853e-05,4.3905e-08,20.15909328975761,21.83001797949764,0.5136828927019663,10.70865950119729,16.694432950227156,0.3928370838806585,-0.577,-0.228
100,GRB140619475,b'GRB140619B      ',56827.475463,424869883.52,132.66,-9.65,236.467,21.0764,0.2,0.0,0.0,38.8513,25.8183,0,2.07,b'P8_TRANSIENT020E              ',10.0,1,0.174,1.124,1.298,0.2,5.12,1.07,5.32,0.19,7.45,0.2,5.32,319.016,0.000832254,0.000175646,1.25924e-06,6.64753e-07,6.44731e-06,3.40353e-06,-1.88156,0.183101,0.0,0.0,0.2,5.32,319.016,0.000832254,0.000175646,1.25924e-06,6.64753e-07,6.44731e-06,3.40353e-06,-1.88156,0.183101,0.0,0.0,-0.256,2.56,313.572,0.00140053,0.000308727,1.70917e-06,9.29638e-07,4.81301e-06,2.61786e-06,-1.96144,0.204825,0.0,0.0,2.56,5.32,28.2106,0.000186278,0.000113592,5.27362e-07,7.65109e-07,1.45552e-06,2.1117e-06,-1.67544,0.433874,0.0,0.0,23000.0,1.0,0.61,23.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,b'GRB140619475',-0.256,2.816,0.81,2.56,1.5459e-06,6.9537e-08,1.6828155827427684,1.3573028175725041,0.7465144378042936,0.8574775324440863,1.231889995759581,0.6775377852065445,-0.456,-1.3800000000000001
110,GRB080825593,b'GRB080825C      ',54703.5929167,241366429.11,234.83,-3.84,2.1255,39.026,0.65,0.0,0.0,60.223,26.2922,0,4.06,b'P8_TRANSIENT020E              ',8.5,1,2.844,1.203,4.047,3.06,170.45,0.66,173.50999,2.98,174.75,0.0,100.0,87.1023,8.04357e-05,2.14799e-05,2.61691e-08,8.16495e-09,2.61691e-06,8.16495e-07,-2.96561,0.419983,0.0,0.0,3.06,173.50999,85.8878,4.90571e-05,1.30792e-05,1.71071e-08,5.58889e-09,2.91591e-06,9.52627e-07,-2.84364,0.385928,0.0,0.0,1.216,22.208,50.8922,0.000211567,7.40948e-05,5.25227e-08,1.90751e-08,1.10256e-06,4.00425e-07,-3.8103,0.821205,0.0,0.0,22.208,173.50999,22.5581,2.62378e-05,1.07868e-05,1.39666e-08,8.56082e-09,2.11318e-06,1.29527e-06,-2.38968,0.418116,0.0,0.0,680.0,1.0,28.28,13.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57722e-05,1.45286,0.0336855,-1.91415,0.0693467,1.45286,0.0336855,56.0,b'GRB080825593',1.216,20.992,0.231,22.208,3.4194e-05,9.6983e-08,4.3126682987783616,3.07022815088472,0.37811866621397777,2.690721994195102,2.07915531884228,0.2560613447406604,-1.844,0.0129999999999999
118,GRB190606080,b'GRB190606A      ',58640.0799421,581478912.78,76.54,-0.68,200.8654,-23.5771,0.47,0.0,0.0,72.4808,32.0924,0,1.74,b'P8_TRANSIENT010E              ',7.2,1,0.021,0.101,0.122,31.6,122.74,61.37,154.34,29.52,275.0,0.0,226.99001,39.0621,5.40533e-05,2.5668e-05,2.33087e-08,1.21278e-08,5.29085e-06,2.75289e-06,-2.57263,0.538939,0.0,0.0,31.6,154.34,9.4052,8.67269e-05,0.0,9.60803e-08,0.0,1.17929e-05,0.0,-2.60497,0.923977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224,154.34,17.2647,8.36728e-05,0.0,9.26969e-08,0.0,1.42861e-05,0.0,-3.10208,0.904834,0.0,0.0,1600.0,1.0,154.34,3.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,b'GRB190606080',0.0,0.224,0.036,0.224,4.0181e-06,1.34e-08,0.0,0.0,0.0,,,,-31.6,-0.101
131,GRB140402007,b'GRB140402A      ',56749.0070139,418090209.99,207.66,5.97,339.2299,64.5844,0.16,0.0,0.0,13.6688,45.9661,0,1.62,b'P8_TRANSIENT020E              ',8.4,1,-0.306,1.546,1.24,0.05,71.6,5.325,71.65,0.05,82.3,0.0,100.0,92.3306,2.01166e-05,6.14522e-06,4.12054e-08,2.82482e-08,4.12054e-06,2.82482e-06,-1.77822,0.228437,0.0,0.0,0.11,71.65,75.7564,2.04019e-05,7.55193e-06,4.46496e-08,3.57545e-08,3.19424e-06,2.55788e-06,-1.75669,0.267163,0.0,0.0,-0.128,0.192,61.1612,0.00184099,0.000928928,1.03235e-06,1.03565e-06,3.3035e-07,3.31407e-07,-2.35224,0.642326,0.0,0.0,0.192,71.65,62.4114,1.822e-05,7.22156e-06,4.62599e-08,3.87085e-08,3.30564e-06,2.76603e-06,-1.70938,0.273472,0.0,0.0,3700.0,1.0,8.73,16.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000632687,0.869832,0.056398,-3.67074,0.0773662,0.869832,0.056398,93.0,b'GRB140402007',-0.128,0.32,0.63,0.192,2.8428e-07,2.9008e-08,90.23620349085135,23.12114778183903,0.10342053195752354,71.32427537165404,31.082109476308418,0.13902998759538576,-0.238,-1.674
151,GRB191202867,b'GRB191202A      ',58819.8672569,597012536.23,249.47,17.49,34.9555,37.1701,0.25,0.0,0.0,11.565,40.3696,0,5.84,b'P8_TRANSIENT010E              ',7.7,1,8.113,1.985,10.098,96.84,369.95001,64.935,466.79001,10.97,510.79001,0.0,3881.53003,60.4701,2.82057e-06,9.48597e-07,9.62588e-09,6.9569e-09,3.73631e-05,2.70034e-05,-1.61829,0.223472,0.0,0.0,96.84,466.79001,27.1084,2.3211e-06,1.10849e-06,7.90026e-09,8.11484e-09,2.9227e-06,3.00209e-06,-1.6191,0.312386,0.0,0.0,1.024,31.745,3.46715,2.38716e-05,0.0,2.64462e-08,0.0,8.12453e-07,0.0,-6.0,0.00441209,0.0,0.0,31.745,466.79001,39.8653,2.29741e-06,1.01774e-06,1.0041e-08,9.07188e-09,4.36827e-06,3.94668e-06,-1.54402,0.272588,0.0,0.0,1800.0,1.0,392.35999,6.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,b'GRB191202867',1.024,30.721,0.81,31.745,1.9505e-05,3.4499e-08,10.284606436603335,3.3475100819466705,0.2779802921955726,7.1073326264622185,3.392666591353215,0.28173041904744656,-95.816,-0.9610000000000001
154,GRB220107793,b'GRB220107B      ',59586.7927431,663274898.52,216.47,19.9,19.5014,67.2202,0.24,0.0,0.0,54.249,30.8862,0,2.22,b'P8_TRANSIENT020E              ',11.0,1,12.09,1.282,13.372,2.78,359.32001,11.195,362.10001,2.54,384.25,0.832,25.665,256.038,0.000243075,5.02268e-05,2.12264e-07,9.93795e-08,5.27114e-06,2.46789e-06,-2.10312,0.212409,0.0,0.0,2.78,362.10001,163.986,1.93501e-05,3.24866e-06,1.57614e-08,5.70516e-09,5.66338e-06,2.04998e-06,-2.13636,0.172984,0.0,0.0,0.832,25.665,256.038,0.000243075,5.02268e-05,2.12264e-07,9.93795e-08,5.27114e-06,2.46789e-06,-2.10312,0.212409,0.0,0.0,25.665,362.10001,62.229,9.56786e-06,2.38996e-06,5.8974e-09,2.8936e-09,1.98409e-06,9.73507e-07,-2.28986,0.292236,0.0,0.0,2400.0,1.0,6.98,43.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000692361,1.54936,0.127958,-1.64067,0.268979,1.54936,0.127958,180.0,b'GRB220107793',0.832,24.833,0.362,25.665,2.6107e-05,4.799e-08,12.561950584234708,13.467331582219854,0.9307410062542156,5.7646195383634815,10.266758853336583,0.7095470966628307,-1.948,-0.45000000000000007
155,GRB081024891,b'GRB081024B      ',54763.8907407,246576161.86,323.01,20.84,72.5531,-21.9686,0.31,0.0,0.0,19.1504,30.6101,0,3.16,b'P8_TRANSIENT020E              ',8.0,1,-0.044,1.32,1.276,0.17,2.02,0.04,2.19,0.16,2.26,0.0,10.0,152.253,0.000213041,5.74882e-05,1.28857e-07,7.27054e-08,1.28857e-06,7.27054e-07,-2.3018,0.334068,0.0,0.0,0.17,2.19,138.278,0.000826545,0.00025094,5.56576e-07,3.71747e-07,1.12428e-06,7.50928e-07,-2.23693,0.358541,0.0,0.0,-0.064,0.576,76.214,0.00142911,0.000586579,9.16834e-07,8.10878e-07,5.86774e-07,5.18962e-07,-2.26533,0.495147,0.0,0.0,0.576,2.19,75.3558,0.000568475,0.000233842,3.26128e-07,2.72958e-07,5.26371e-07,4.40554e-07,-2.33658,0.522374,0.0,0.0,1700.0,1.0,2.12,12.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,b'GRB081024891',-0.064,0.64,0.264,0.576,3.547e-07,2.8646e-08,1.7290165689708363,1.6472754843902722,0.5219109118724872,1.1879624756714415,1.983677445749505,0.6284942743812729,-0.234,-1.3840000000000001
168,GRB190515190,b'GRB190515A      ',58618.1896181,579587588.14,137.75,28.93,197.1983,41.7693,0.95,0.0,0.0,44.6744,64.0642,0,1.01,b'P8_TRANSIENT020E              ',7.3,1,0.165,1.645,1.81,0.18,1.62,0.045,1.8,0.16,1.87,0.18,1.8,140.449,0.00155902,0.000458075,6.54154e-07,3.07498e-07,1.05973e-06,4.98146e-07,-2.60131,0.435659,0.0,0.0,0.18,1.8,140.449,0.00155902,0.000458075,6.54154e-07,3.07498e-07,1.05973e-06,4.98146e-07,-2.60131,0.435659,0.0,0.0,-0.112,1.152,108.923,0.0016916,0.000545789,5.7622e-07,2.81191e-07,7.28342e-07,3.55425e-07,-2.8824,0.567057,0.0,0.0,1.152,1.8,30.487,0.000604865,0.000431537,8.7309e-07,1.56123e-06,5.65762e-07,1.01168e-06,-1.89851,0.630886,0.0,0.0,550.0,0.93,0.34,12.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,b'GRB190515190',-0.112,1.264,0.471,1.152,1.5425e-07,1.1763e-08,1.0850406024297314,0.8808629160717507,0.6872901588140375,0.6844561635774705,0.7412901616530958,0.5783884156693259,-0.292,-1.7570000000000001
175,GRB090227772,b'GRB090227B      ',54889.7715394,257452263.407,11.8,32.2,121.8897,-30.6632,1.8,0.0,0.0,72.652,86.5546,1,-1.0,b'P8_TRANSIENT020E              ',15.0,1,0.039,1.144,1.183,-666.0,0.0,-666.0,-666.0,0.0,-1332.0,0.0,1.2,29.5354,0.00571265,0.0034187,1.22322e-06,8.06593e-07,1.46786e-06,9.67912e-07,-4.9397,1.79484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016,0.288,23.1253,0.0164047,0.0114914,3.27357e-06,2.30133e-06,9.95166e-07,6.99604e-07,-5.99999,0.0128763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-670.0,-670.0,-666.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'GRB090227772',-0.016,0.304,0.023,0.288,1.1095e-05,1.1791e-08,inf,inf,inf,,,,-0.016,-1.16
195,GRB160917479,b'GRB160917A      ',57648.4793866,495804623.286,295.668,46.403,79.6595,11.1962,0.01,0.0,0.0,46.1434,89.6863,0,-1.0,b'P8_TRANSIENT020E              ',7.1,1,-0.117,0.443,0.326,-666.0,0.0,-666.0,-666.0,0.0,-1332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.256,19.2,-7.2585e-07,3.41102e-05,0.0,3.7789e-08,0.0,7.35222e-07,0.0,-0.567297,1.77098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-670.0,-670.0,-666.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'GRB160917479',-0.256,19.456,5.638,19.2,5.2324e-06,6.1881e-08,inf,inf,inf,,,,-0.256,-0.6990000000000001
213,GRB220210998,b'GRB220210A      ',59620.997662,666230203.37,348.14,61.06,111.257,0.4496,0.99,0.0,0.0,16.0184,44.657,0,2.62,b'P8_TRANSIENT020E              ',15.0,1,0.036,0.649,0.685,0.3,6.05,1.995,6.35,0.26,10.3,0.0,13.27,44.3373,9.82957e-05,3.82339e-05,2.10905e-08,8.4945e-09,2.79871e-07,1.12722e-07,-4.91643,1.43267,0.0,0.0,0.3,6.35,42.3547,0.000187513,7.7867e-05,3.98743e-08,1.7672e-08,2.4124e-07,1.06916e-07,-5.02097,1.57307,0.0,0.0,-0.512,43.008,33.5959,3.57046e-05,1.34156e-05,7.45548e-09,2.90175e-09,3.24462e-07,1.26284e-07,-5.25484,1.48365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.99,0.59,7.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,b'GRB220210998',-0.512,43.52,4.471,43.008,1.6531e-06,6.1653e-08,0.1904113314810173,0.1869745675786158,1.3449759575526445,0.1420373382837648,0.14418605718960778,1.0371833981161835,-0.812,-1.161
216,GRB150314205,b'GRB150314A      ',57095.2047454,448001693.86,126.12,63.79,152.3716,34.3558,0.72,1.758,4.17913e+28,45.1127,91.926,1,1.27,b'P8_TRANSIENT010E              ',6.6,1,-0.173,0.2,0.027,0.1,3064.17993,105.135,3064.28003,0.1,3274.55005,0.0,500.0,38.0783,7.47625e-06,2.17738e-06,2.99433e-09,1.17459e-09,1.49716e-06,5.87296e-07,-2.65369,0.376916,2.22258e+52,7.47768e+51,0.1,3064.28003,22.7681,1.04794e-06,3.78535e-07,4.87854e-10,2.08004e-10,1.49487e-06,6.37362e-07,-2.49914,0.398116,1.8339e+52,7.36838e+51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.296,3064.28003,19.8533,1.343e-06,0.0,1.48784e-09,0.0,4.54235e-06,0.0,-2.4729,0.418632,8.81685e+51,0.0,1900.0,0.97,3064.28003,13.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00150099,0.946446,0.133003,-3.02942,0.350515,0.946446,0.133003,30.0,b'GRB150314205',0.608,10.688,0.143,11.296,8.1592e-05,1.2798e-07,0.0,0.0,0.0,,,,-0.1,0.408
219,GRB110529034,b'GRB110529A      ',55710.0338194,328322924.87,118.33,67.91,147.8849,30.783,1.5,0.0,0.0,29.9601,79.9138,1,-1.0,b'P8_TRANSIENT020E              ',15.0,1,0.015,0.093,0.108,-666.0,0.0,-666.0,-666.0,0.0,-1332.0,0.0,0.384,10.1346,0.00190511,0.0,2.11057e-06,0.0,8.10459e-07,0.0,-5.9999,0.035054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.128,0.384,9.55798,0.00142754,0.0,1.58149e-06,0.0,8.09725e-07,0.0,-6.0,0.00323047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-670.0,-670.0,-666.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'GRB110529034',-0.128,0.512,0.091,0.384,1.4727e-06,1.3262e-08,inf,inf,inf,,,,-0.128,-0.221
222,GRB130502327,b'GRB130502B      ',56414.3272106,389173874.76,66.65,70.83,138.8486,14.9548,0.32,0.0,0.0,46.4341,96.4185,0,2.96,b'P8_TRANSIENT010E              ',8.0,1,13.805,1.563,15.368,12.38,1304.20996,163.345,1316.58997,10.97,1641.87,0.0,500.0,407.343,4.28435e-05,6.16929e-06,4.41784e-08,1.58591e-08,2.20892e-05,7.92953e-06,-2.02952,0.118923,0.0,0.0,12.38,1316.58997,345.18,1.52586e-05,2.22803e-06,1.58419e-08,5.83091e-09,2.06611e-05,7.60473e-06,-2.02664,0.121127,0.0,0.0,7.168,31.488,218.751,0.000263923,5.98497e-05,2.03144e-07,9.09244e-08,4.94046e-06,2.21128e-06,-2.16466,0.228212,0.0,0.0,31.488,1316.58997,238.353,1.13205e-05,1.92449e-06,1.26966e-08,5.57166e-09,1.63165e-05,7.16016e-06,-1.99485,0.139616,0.0,0.0,31000.0,0.97,222.10001,68.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000469661,1.4425,0.0640647,-1.35279,0.135857,1.4425,0.0640647,330.0,b'GRB130502327',7.168,24.32,0.362,31.488,0.00010496,6.4268e-08,17.29667204068525,12.82320933726384,0.23911892396823015,7.685688437364674,9.667730712675027,0.18027775655051226,-5.212000000000001,5.605
223,GRB170728961,b'GRB170728B      ',57962.9606366,522975804.43,237.43,70.85,105.5221,39.6976,1.01,0.0,0.0,31.4994,68.1481,1,6.15,b'P8_TRANSIENT010E              ',6.6,1,-0.007,0.41,0.403,0.21,469.07001,0.01,469.28,0.19,469.28,0.0,500.0,29.7324,4.1894e-06,1.50957e-06,1.89984e-09,9.84258e-10,9.49919e-07,4.92129e-07,-2.52326,0.433439,0.0,0.0,0.21,469.28,16.8253,5.83793e-06,0.0,6.46755e-09,0.0,3.03373e-06,0.0,-2.48668,0.487028,0.0,0.0,0.0,46.336,21.143,2.02759e-05,9.5647e-06,1.34033e-08,1.25702e-08,6.21056e-07,5.82451e-07,-2.24761,0.525322,0.0,0.0,46.336,469.28,5.55864,4.21391e-06,0.0,4.66838e-09,0.0,1.97446e-06,0.0,-2.88504,0.855708,0.0,0.0,630.0,0.92,9.27,7.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,b'GRB170728961',0.0,46.336,0.81,46.336,4.0192e-06,3.1752e-08,3.473131743614603,2.0723921732340687,0.2047169655836215,1.63837182014858,1.9435798718216326,0.19199170657902978,-0.21,-0.41
