,Unnamed: 0,name        ,time                   ,ra        ,dec      ,error_radius,lle_bbbd_sig,lle_t90 ,tl100      ,tl100_error,like_best_ts,like_lat_t0,like_lat_t1,like_lat_flux,like_lat_flux_error,like_lat_flux_ene,like_lat_flux_ene_error,like_gbm_t0,like_gbm_t1,like_gbm_flux,like_gbm_flux_error,like_gbm_flux_ene,like_gbm_flux_ene_error,Unnamed: 23,flux_ratio,flux_ene_ratio,flux_ratio_error,flux_ene_ratio_error,GBM-LAT Time Difference
0,,GRB140323433,2014-03-23 10:22:53.003,23 46 04.8,-79 55 12,0.18,0.0,0.0,488.82001,147.83501,39.782,226.8,715.62,4.81799e-06,0.0,5.33761e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,-226.8
1,,GRB190731943,2019-07-31 22:38:23.004,22 41 14.4,-76 25 12,0.31,17.0,6.354,275.67999,22.225,177.926,0.06,275.73999,1.80898e-05,3.88838e-06,1.72243e-08,8.56787e-09,1.792,17.664,8.08939e-05,3.35793e-05,2.46499e-08,1.23905e-08,,4.471796260876294,1.4311118594079295,8.635807199913588,1.4461587302328351,1.732
2,,GRB160325291,2016-03-25 06:59:21.002,01 04 50.4,-72 39 36,0.24,6.5,0.203,1550.73999,458.35501,97.2241,4.98,1555.71997,4.769e-06,9.95543e-07,2.40535e-09,7.3455e-10,2.048,44.993,2.71042e-05,0.0,3.00274e-08,0.0,,5.683413713566785,12.483588666929968,0.0,0.0,-2.9320000000000004
3,,GRB201104001,2020-11-04 00:00:55.996,05 25 28.8,-71 07 48,0.24,8.0,7.229,76.29,0.935,411.988,0.26,76.55,0.000376102,5.87922e-05,1.73551e-07,4.11086e-08,0.0,52.48,0.000429624,6.82292e-05,2.06446e-07,5.22106e-08,,1.1423071400843388,1.1895408266158074,1.1605144900173832,1.2700651445196383,-0.26
4,,GRB171212434,2017-12-12 10:24:18.003,02 37 40.8,-70 37 48,0.43,0.0,0.0,380.35001,128.72501,25.5044,116.62,496.97,3.81207e-06,0.0,4.2232e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,-116.62
5,,GRB120107384,2012-01-07 09:12:14.996,16 20 02.4,-70 35 24,0.34,0.0,0.0,47.51,12.695,53.2877,1.28,48.79,3.71005e-05,1.69551e-05,5.01006e-08,4.57445e-08,0.064,23.104,7.81903e-05,2.97993e-05,4.35573e-08,3.0297e-08,,2.1075268527378337,0.8693967736913331,1.7575419785197375,0.6623091300593514,-1.216
6,,GRB130327350,2013-03-27 08:24:04.000,14 33 02.4,-69 45 36,0.21,0.0,0.0,515.16998,11.57,327.622,8.0,523.16998,1.60244e-05,2.48234e-06,3.38163e-08,1.41296e-08,2.048,33.28,6.6381e-05,2.23725e-05,1.10294e-07,8.79865e-08,,4.142495194827887,3.261563210641022,9.012665468872111,6.22710480126826,-5.952
7,,GRB150902733,2015-09-02 17:35:39.002,14 19 48.0,-69 22 48,0.18,21.0,9.595,405.17999,1.745,211.541,3.49,408.67001,2.40948e-05,4.10334e-06,1.4207e-08,4.10831e-09,3.84,17.408,0.00036606,8.30101e-05,1.13528e-07,3.56229e-08,,15.19248966582001,7.990990356866334,20.229885897829575,8.670937684838778,0.34999999999999964
8,,GRB210520797,2021-05-20 19:07:01.998,08 13 48.0,-69 13 12,0.87,0.0,0.0,6.33,0.475,125.185,1.34,7.67,0.000332368,9.72459e-05,1.2449e-07,5.37976e-08,0.256,56.321,4.69537e-05,1.24653e-05,1.91521e-08,7.98694e-09,,0.1412702185529293,0.15384448550084345,0.1281832961595296,0.14846275670290124,-1.084
9,,GRB180703876,2018-07-03 21:01:39.999,00 26 14.4,-67 06 00,0.33,18.0,7.117,1610.12,81.95,53.9861,3.84,1613.95996,3.10009e-06,9.26452e-07,1.48076e-09,5.74929e-10,1.536,22.272,5.44033e-05,2.93517e-05,1.45953e-08,9.71274e-09,,17.548942127486622,9.85662767767903,31.681835648258083,16.89380775713175,-2.304
10,,GRB141221897,2014-12-21 21:31:47.997,06 36 28.8,-66 54 00,0.33,0.0,0.0,36.3,6.74,41.4874,22.17,58.47,2.0847e-05,1.10124e-05,7.15119e-08,8.2991e-08,-1.28,31.233,3.39071e-05,0.0,3.75639e-08,0.0,,1.6264738331654436,0.5252818062448347,0.0,0.0,-23.450000000000003
12,,GRB170127067,2017-01-27 01:35:47.000,22 35 55.2,-63 58 12,0.52,0.0,0.0,2224.23999,45.69,35.9158,664.76001,2889.0,1.21421e-06,3.86321e-07,4.02101e-10,1.50165e-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-664.76001
13,,GRB200803149,2020-08-03 03:34:25.997,20 45 09.6,-63 04 48,0.46,0.0,0.0,212.48,8.255,36.8221,26.0,238.48,7.12115e-06,3.01412e-06,7.43519e-09,6.40577e-09,2.304,120.578,1.2858e-05,0.0,1.42447e-08,0.0,,1.8056072404035863,1.9158488216172014,0.0,0.0,-23.696
14,,GRB081006604,2008-10-06 14:29:33.996,09 00 00.0,-61 57 00,0.38,0.0,0.0,61.49,18.525,111.606,0.78,62.27,3.33584e-05,9.59503e-06,3.39404e-08,2.23871e-08,-0.256,6.144,0.000206785,7.40586e-05,1.49303e-07,1.13347e-07,,6.1988884358962055,4.398975851787251,7.718433397290056,5.0630497027305905,-1.036
15,,GRB100225115,2010-02-25 02:45:30.997,20 47 43.2,-60 30 36,0.34,10.0,6.992,1005.82001,17.665,46.563,6.62,1012.44,2.20804e-06,9.0178e-07,1.65446e-09,1.11908e-09,-0.256,12.736,0.000181642,7.13622e-05,4.57239e-08,1.90699e-08,,82.26390826253147,27.6367515684876,79.13482224045777,17.040694141616328,-6.876
16,,GRB200219317,2020-02-19 07:36:49.000,22 51 31.2,-60 12 00,0.29,7.3,0.213,1.0,0.505,30.3474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
17,,GRB140528837,2014-05-28 20:05:22.001,18 42 21.6,-59 27 36,0.36,0.0,0.0,1296.77002,313.435,35.8742,81.13,1377.90002,1.91321e-06,7.33264e-07,2.16737e-09,1.46048e-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-81.13
18,,GRB160422499,2016-04-22 11:59:00.004,02 48 12.0,-57 54 00,0.1,0.0,0.0,291.82001,256.82501,36.3122,769.62,1061.43994,4.11962e-06,0.0,4.56392e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,-769.62
19,,GRB091031500,2009-10-31 12:00:28.002,04 47 14.4,-57 43 48,0.23,17.0,16.617,408.12,27.99,165.946,0.06,408.17999,1.00543e-05,2.26075e-06,8.98475e-09,4.32006e-09,1.408,35.329,5.39167e-05,1.74401e-05,2.02955e-08,9.86121e-09,,5.3625513461901875,2.2588831074876876,7.7142983523167095,2.282655796447272,1.3479999999999999
20,,GRB141222298,2014-12-22 07:08:56.996,11 52 00.0,-57 18 36,0.08,8.2,1.293,406.34,12.39,38.9478,34.21,440.54999,7.71704e-06,2.79937e-06,6.82813e-09,4.35757e-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-34.21
21,,GRB150702998,2015-07-02 23:56:37.997,03 30 21.6,-56 52 48,0.54,0.0,0.0,1340.69995,24.205,32.2995,512.57001,1737.12,1.26692e-06,5.60818e-07,8.61306e-10,6.48e-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-512.57001
22,,GRB160829334,2016-08-29 08:01:36.998,13 26 52.8,-56 46 48,0.1,0.0,0.0,30.74,6.18,30.6957,0.95,31.69,1.17056e-05,7.63819e-06,1.21712e-07,1.40848e-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.95
23,,GRB120316008,2012-03-16 00:11:01.997,03 49 24.0,-56 24 36,0.31,5.8,0.398,530.03998,33.315,70.0461,15.0,545.03998,4.3979e-06,1.26803e-06,3.40587e-09,2.08203e-09,1.536,28.16,1.74842e-05,1.06202e-05,2.85828e-08,4.05682e-08,,3.9755792537347374,8.392216966590034,8.37535389541257,19.484925769561436,-13.464
24,,GRB140928437,2014-09-28 10:29:53.002,02 55 02.4,-55 55 12,0.1,0.0,0.0,878.03003,42.96,60.8239,1676.64001,2554.66992,1.13238e-06,6.52675e-07,1.43243e-09,1.57295e-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-1676.64001
25,,GRB141012773,2014-10-12 18:33:16.998,19 19 40.8,-53 00 00,0.27,0.0,0.0,103.9,10.435,119.675,3.14,107.04,4.19038e-05,1.17302e-05,4.7771e-08,2.85086e-08,-25.856,11.777,6.56172e-05,2.48133e-05,3.43106e-08,2.09634e-08,,1.5659009445444092,0.7182307257541186,2.1153347769006494,0.7353360038725156,-28.996000000000002
26,,GRB150627183,2015-06-27 04:23:23.001,07 50 00.0,-51 33 00,0.06,9.8,13.583,5990.99023,1284.80005,239.482,152.00999,6143.0,2.36825e-06,4.40864e-07,6.77892e-09,2.37759e-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-152.00999
27,,GRB090720710,2009-07-20 17:02:56.003,13 34 33.1,-51 11 53,0.99,0.0,0.0,1.56,0.37,50.9816,0.12,1.68,0.000987758,0.000457779,6.44754e-07,7.09798e-07,-0.256,10.496,0.000198101,8.04277e-05,8.93551e-08,6.70667e-08,,0.20055620911194846,0.13858789553845344,0.17569110859170037,0.09448702306853499,-0.376
28,,GRB160905471,2016-09-05 11:18:54.999,10 48 02.4,-50 52 48,0.1,22.0,23.343,455.54001,20.1,147.355,7.75,463.29001,9.13796e-06,1.96626e-06,1.86523e-08,8.85753e-09,3.84,37.377,2.70807e-05,1.1491e-05,7.98639e-08,7.90791e-08,,2.963538908027612,4.281718608428987,5.844089794838934,8.927895248449625,-3.91
29,,GRB100620119,2010-06-20 02:51:28.996,05 50 43.2,-50 39 36,1.24,0.0,0.0,39.05,6.105,27.5217,3.75,42.8,1.63992e-05,8.63987e-06,3.74366e-09,2.17911e-09,0.192,52.033,1.82768e-05,7.7236e-06,4.74861e-09,2.22433e-09,,1.1144933899214595,1.268440510089057,0.8939486358012332,1.0207515912459675,-3.558
30,,GRB120709883,2012-07-09 21:11:40.004,21 15 12.0,-50 25 12,0.4,9.9,0.46,695.79999,14.865,125.988,0.11,695.90997,1.02631e-05,2.08241e-06,6.21406e-09,2.21249e-09,-0.128,27.2,8.45134e-05,2.40396e-05,6.22217e-08,3.76408e-08,,8.23468542643061,10.013051048750736,11.54412435591454,17.012867854769965,-0.238
31,,GRB101014175,2010-10-14 04:11:51.999,01 46 00.0,-48 32 24,0.09,12.0,1.666,1925.28003,52.38,48.4252,2270.73999,4196.02002,3.98166e-07,1.99255e-07,3.84489e-09,4.03587e-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-2270.73999
33,,GRB170906030,2017-09-06 00:43:08.000,13 35 45.6,-47 07 12,0.1,0.0,0.0,1821.18994,2.83,205.606,162.06,1894.27002,5.73369e-06,9.48188e-07,5.57307e-09,1.78838e-09,12.032,90.881,0.000290371,0.0,3.21688e-07,0.0,,50.64295418831503,57.721866045106204,0.0,0.0,-150.028
34,,GRB141102536,2014-11-02 12:51:39.004,13 56 16.8,-46 43 48,0.68,0.0,0.0,54.17,1.115,48.5449,3.55,34.54,4.72661e-05,2.15743e-05,6.5722e-08,7.03695e-08,-0.064,2.56,0.000578584,0.0,6.40984e-07,0.0,,12.240993016136303,9.752959435196738,0.0,0.0,-3.614
35,,GRB170115743,2017-01-15 17:49:13.996,12 37 16.8,-46 37 48,0.74,13.0,11.033,1026.62,9.925,111.427,1.27,1027.89001,6.20058e-06,1.92597e-06,2.35911e-09,5.11335e-10,0.512,44.8,7.11025e-05,1.81699e-05,2.08971e-08,6.29841e-09,,11.467072435159293,8.858043923343972,9.434155256831623,12.317580451171933,-0.758
36,,GRB150523396,2015-05-23 09:29:47.996,07 41 21.6,-45 25 48,0.08,8.4,40.477,6125.20996,75.785,248.5,3.88,6129.08984,3.85317e-06,6.20289e-07,5.28045e-09,1.74969e-09,1.792,84.225,5.79906e-05,1.19753e-05,4.85368e-08,2.12711e-08,,15.050101604652792,9.191792366180913,19.30600091247789,12.157067823443011,-2.088
37,,GRB170424425,2017-04-24 10:12:29.998,22 54 48.0,-45 07 12,0.69,12.0,35.192,85.81,2.39,43.6881,21.84,107.65,1.91431e-05,8.84769e-06,1.92594e-08,1.92937e-08,2.816,56.065,1.90774e-05,1.14202e-05,2.55181e-08,3.43043e-08,,0.9965679539886435,1.3249685867680199,1.290754988025123,1.778005255601569,-19.024
38,,GRB090227310,2009-02-27 07:25:57.000,00 18 14.4,-44 37 48,0.34,6.8,9.901,201.39999,0.18,33.2463,2.9,204.3,3.06844e-06,1.66294e-06,7.41967e-09,9.37025e-09,0.003,16.192,5.27863e-05,0.0,5.84793e-08,0.0,,17.20297610512182,7.881657809579132,0.0,0.0,-2.897
39,,GRB190531840,2019-05-31 20:10:12.003,01 37 33.6,-41 57 00,0.1,8.3,6.702,1162.35999,107.57,169.227,12.96,1175.31995,5.67909e-06,1.05259e-06,5.87826e-09,2.30321e-09,6.72,44.865,2.81036e-05,1.24929e-05,9.33676e-09,5.16894e-09,,4.94860972444529,1.5883543769754997,11.868723814590677,2.244233048658177,-6.240000000000001
40,,GRB170510217,2017-05-10 05:12:24.998,10 40 50.4,-39 16 48,0.49,8.1,28.711,127.33,5.25,46.8101,26.84,154.17,3.50799e-05,1.25983e-05,2.23603e-08,1.49679e-08,2.816,130.562,3.20391e-05,1.40634e-05,2.17175e-08,1.69949e-08,,0.9133178828902021,0.971252621834233,1.11629346816634,1.1354231388504732,-24.024
41,,GRB110721200,2011-07-21 04:47:42.996,22 14 07.2,-38 34 48,0.12,61.0,6.005,120.59,2.78,386.724,0.04,120.63,5.84775e-05,9.37105e-06,2.95435e-08,8.69514e-09,0.003,21.825,0.000297353,5.20805e-05,1.30568e-07,4.2532e-08,,5.084913000726775,4.419516983431212,5.5575949333319095,4.89146810747153,-0.037
42,,GRB210202841,2021-02-02 20:10:31.002,15 19 14.4,-38 02 24,0.61,0.0,0.0,37.74,5.54,51.9798,0.91,38.65,5.00422e-05,1.93088e-05,3.87909e-08,3.04081e-08,0.768,18.432,0.000103006,0.0,1.14115e-07,0.0,,2.0583827249801168,2.941798205249169,0.0,0.0,-0.14200000000000002
43,,GRB120919052,2012-09-19 01:14:23.001,20 10 55.2,-37 43 48,0.14,0.0,0.0,484.04001,242.02,28.7391,121.23,605.27002,4.58325e-06,0.0,5.07755e-09,0.0,2.048,120.066,9.24202e-06,0.0,1.02388e-08,0.0,,2.016477390498009,2.0164843280716096,,,-119.182
44,,GRB120911268,2012-09-11 06:26:11.996,11 30 38.4,-37 30 00,0.6,18.0,28.23,208.53,1.855,627.752,9.23,217.75999,0.000280312,3.68186e-05,1.34177e-07,2.59538e-08,0.0,69.0,0.000609484,9.05866e-05,2.72255e-07,5.71175e-08,,2.174305773566597,2.0290735371934088,2.4603488454205213,2.200737464263422,-9.23
45,,GRB140110263,2014-01-10 06:18:36.996,01 56 28.8,-36 30 00,0.25,13.0,5.983,158.81,7.665,338.656,0.62,159.42999,3.88391e-05,6.88938e-06,1.57937e-08,4.20684e-09,-0.256,9.216,0.000556247,0.000104477,2.30254e-07,6.86236e-08,,14.321830320476014,14.578851060866041,15.164935015923058,16.312386494375826,-0.876
46,,GRB090531775,2009-05-31 18:35:56.000,16 48 14.4,-36 03 00,0.0,10.0,0.071,7.47,4.14,5.31069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
47,,GRB150118409,2015-01-18 09:48:17.001,16 00 55.2,-35 55 48,0.56,6.6,1.473,46.69,15.28,30.4634,4.34,51.03,0.000134795,0.0,1.49332e-07,0.0,7.68,47.873,0.000138823,0.0,1.53795e-07,0.0,,1.029882414036129,1.029886427557389,,,3.34
48,,GRB131216081,2013-12-16 01:56:31.998,06 06 21.6,-35 30 00,2.24,7.7,0.275,0.0,-666.0,0.00828272,0.0,0.0,0.0,0.0,0.0,0.0,0.003,19.265,4.46147e-05,0.0,4.94263e-08,0.0,,inf,inf,,,0.003
49,,GRB120526303,2012-05-26 07:16:39.996,03 35 16.8,-35 13 48,0.11,0.0,0.0,2614.09009,173.125,122.225,692.20001,3306.29004,2.02675e-06,4.39708e-07,3.44144e-09,1.99157e-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-692.20001
50,,GRB121225417,2012-12-25 10:00:53.001,20 41 48.0,-34 49 48,1.5,8.3,4.207,0.0,-666.0,3.78045,0.0,0.0,0.0,0.0,0.0,0.0,9.472,67.969,0.000104335,0.0,1.15587e-07,0.0,,inf,inf,,,9.472
51,,GRB110518860,2011-05-18 20:38:10.003,04 28 45.6,-34 16 12,0.19,0.0,0.0,395.98999,183.3,41.9981,1968.25,2364.23999,1.42766e-06,9.54326e-07,2.7232e-09,3.72168e-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-1968.25
52,,GRB131209547,2013-12-09 13:07:55.998,09 08 14.4,-33 54 00,1.16,0.0,0.0,360.54001,56.79,28.2334,14.27,374.81,6.927e-06,2.30885e-06,1.98158e-09,7.81753e-10,2.816,16.384,8.07996e-05,0.0,8.95138e-08,0.0,,11.66444348202685,45.17294280321764,0.0,0.0,-11.454
53,,GRB090626189,2009-06-26 04:32:08.002,11 20 45.6,-33 33 36,0.29,9.1,0.889,548.32001,86.405,119.713,9.0,557.32001,1.08635e-05,2.58376e-06,1.02933e-08,4.75188e-09,1.536,50.433,2.72339e-05,0.0,3.0171e-08,0.0,,2.5069176600543104,2.931129958322404,0.0,0.0,-7.464
54,,GRB170825307,2017-08-25 07:22:00.998,19 02 33.6,-32 33 00,1.02,0.0,0.0,0.58,0.34,25.3163,0.91,1.49,0.00233873,0.0,2.59096e-06,0.0,-0.512,6.144,0.000269245,0.0,2.98283e-07,0.0,,0.11512444788410804,0.11512450983419274,,,-1.4220000000000002
55,,GRB180718763,2018-07-18 18:18:24.002,02 57 55.2,-30 19 48,0.95,0.0,0.0,15.09,3.205,72.2406,1.07,16.16,0.000134565,4.85803e-05,4.4247e-08,2.34419e-08,1.6,99.906,2.98619e-05,9.88168e-06,1.09174e-08,4.90428e-09,,0.22191431650131904,0.24673763192984835,0.20340920084890377,0.2092100043085245,0.53
56,,GRB180703949,2018-07-03 22:46:51.001,06 27 40.8,-29 52 48,0.44,0.0,0.0,70.55,22.205,42.9003,8.0,34.22,1.71484e-05,1.00718e-05,4.66272e-08,6.75649e-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-8.0
57,,GRB120830297,2012-08-30 07:07:03.000,05 54 21.6,-28 47 24,0.62,0.0,0.0,10.02,0.18,70.708,0.66,10.68,0.000105102,4.34967e-05,1.4096e-07,1.45766e-07,0.0,0.896,0.000603307,0.000351018,5.52631e-07,7.61967e-07,,5.740204753477574,3.920480987514188,8.06999151659781,5.227330104413923,-0.66
58,,GRB090228204,2009-02-28 04:53:20.000,06 34 24.0,-28 47 24,0.21,0.0,0.0,2.0,0.135,60.4479,0.09,2.09,0.000319539,0.000162763,4.417e-07,5.74582e-07,0.0,0.448,0.00173344,0.0,1.92039e-06,0.0,,5.424815124288428,4.34772470002264,0.0,0.0,-0.09
59,,GRB201208252,2020-12-08 06:03:22.997,10 33 19.2,-28 47 24,0.13,0.0,0.0,164.60001,109.58,33.5702,88.86,253.46001,1.62449e-06,1.3161e-06,1.52956e-08,2.20111e-08,-11.52,33.281,1.16942e-05,0.0,1.29554e-08,0.0,,7.1986900504158235,0.8470017521378695,0.0,0.0,-100.38
